amount,currency,transaction_type,merchant_category,merchant_id,merchant_risk_score,user_id,account_age_days,kyc_level,avg_txn_amount_7d,avg_txn_amount_30d,device_type,is_new_device,ip_address,ip_risk_score,geo_location,hour,day_of_week,txn_velocity_1h,txn_velocity_24h,failed_txn_count_24h,account_balance,post_txn_balance,balance_change_ratio,amount_to_balance_ratio,is_night_txn,high_velocity_flag,unusual_location_flag,Class
223.09,INR,UPI,food,M696,0.24,U2235,333,2,4506,4788,mobile,0,40.7.65.78,0.32,Delhi,9,2,3,22,0,5936,5712.91,0.038,0.038,0,0,0,0
9118.22,INR,card,retail,M409,0.04,U3146,871,3,3976,4051,desktop,0,49.62.99.63,0.07,Delhi,19,1,5,23,0,31740,22621.78,0.287,0.287,0,0,0,0
29554.16,INR,ATM,investment,M191,0.89,U5975,382,1,591,419,desktop,1,37.177.178.118,0.78,Delhi,4,4,11,13,4,33283,3728.84,0.888,0.888,1,1,1,1
6323.08,INR,card,retail,M980,0.37,U1599,425,2,3016,2869,tablet,0,133.48.111.204,0.17,Pune,21,3,2,19,0,25589,19265.92,0.247,0.247,0,0,0,0
742.96,INR,netbanking,luxury,M891,0.13,U2434,839,2,1962,1690,mobile,0,125.85.147.77,0.37,Mumbai,18,5,4,19,2,12636,11893.04,0.059,0.059,0,0,0,0
23316.75,INR,card,food,M375,0.82,U5996,271,1,4279,4267,mobile,1,149.164.28.220,0.97,Kolkata,3,1,13,32,5,26798,3481.25,0.87,0.87,1,1,1,1
658.24,INR,card,luxury,M688,0.29,U1538,972,3,2526,2431,desktop,0,205.76.108.94,0.24,Chennai,16,0,1,3,0,10936,10277.76,0.06,0.06,0,0,0,0
9957.66,INR,UPI,gaming,M754,0.17,U1721,987,2,607,601,mobile,0,80.129.24.54,0.37,Kolkata,12,0,2,16,1,41587,31629.34,0.239,0.239,0,0,0,0
30260.56,INR,netbanking,luxury,M427,0.86,U5410,137,1,4663,4771,tablet,1,105.210.29.190,1.0,Mumbai,0,0,12,14,3,32723,2462.44,0.925,0.925,1,1,1,1
6257.48,INR,netbanking,crypto,M589,0.03,U2872,82,3,1413,1415,tablet,0,252.128.92.18,0.23,Delhi,11,5,2,5,0,27065,20807.52,0.231,0.231,0,0,0,0
22202.27,INR,netbanking,gaming,M254,0.84,U3845,788,1,4454,4513,tablet,1,248.193.91.88,0.75,Kolkata,1,4,13,15,2,26560,4357.73,0.836,0.836,1,1,1,1
5094.45,INR,ATM,travel,M623,0.23,U3053,320,3,1175,1284,mobile,0,197.45.83.60,0.02,Hyderabad,12,3,3,18,2,28947,23852.55,0.176,0.176,0,0,0,0
19683.02,INR,UPI,retail,M317,0.69,U3907,552,3,1907,2093,tablet,1,145.228.238.150,0.8,Bangalore,4,2,10,29,7,22782,3098.98,0.864,0.864,1,1,1,1
5130.24,INR,netbanking,food,M340,0.22,U3254,718,3,4178,4364,desktop,0,86.45.202.248,0.05,Hyderabad,21,1,4,16,1,25250,20119.76,0.203,0.203,0,0,0,0
35027.4,INR,netbanking,luxury,M924,0.99,U4912,574,3,4443,4157,tablet,1,22.248.87.226,0.92,Delhi,0,1,11,26,3,35813,785.6,0.978,0.978,1,1,1,1
3252.57,INR,card,crypto,M490,0.31,U1177,776,3,582,800,mobile,0,235.202.122.246,0.06,Bangalore,9,3,4,6,0,31186,27933.43,0.104,0.104,0,0,0,0
7121.13,INR,UPI,food,M386,0.8,U3890,881,2,3282,3126,mobile,1,116.219.23.108,0.71,Bangalore,1,3,12,18,4,7656,534.87,0.93,0.93,1,1,1,1
30978.7,INR,UPI,investment,M679,0.92,U4673,755,3,603,594,desktop,1,213.192.250.2,0.87,Chennai,1,2,12,23,5,34004,3025.3,0.911,0.911,1,1,1,1
2171.55,INR,ATM,luxury,M635,0.01,U1080,634,2,4699,4979,mobile,0,91.236.44.247,0.3,Kolkata,17,5,5,22,2,13686,11514.45,0.159,0.159,0,0,0,0
47216.61,INR,ATM,food,M949,0.74,U3561,221,3,3160,3313,tablet,1,89.184.53.94,0.82,Mumbai,1,3,14,29,5,49407,2190.39,0.956,0.956,1,1,1,0
6589.41,INR,card,gaming,M843,0.04,U2723,533,1,1033,962,mobile,0,77.138.20.175,0.21,Kolkata,13,5,1,4,0,29093,22503.59,0.226,0.226,0,0,0,0
248.16,INR,netbanking,crypto,M221,0.34,U2617,681,1,903,1188,tablet,0,73.90.160.31,0.26,Mumbai,11,1,3,20,1,23085,22836.84,0.011,0.011,0,0,0,0
222.44,INR,card,electronics,M684,0.18,U2654,843,3,1216,1360,tablet,0,178.169.142.231,0.25,Hyderabad,19,5,3,4,0,12805,12582.56,0.017,0.017,0,0,0,0
1949.39,INR,netbanking,travel,M695,0.11,U3328,256,2,3113,2882,mobile,0,228.207.127.149,0.19,Delhi,17,3,1,19,0,46391,44441.61,0.042,0.042,0,0,0,0
44476.2,INR,UPI,investment,M849,0.63,U5613,587,3,4312,4046,mobile,1,146.156.210.17,0.72,Hyderabad,4,2,8,20,6,46510,2033.8,0.956,0.956,1,1,1,1
4354.37,INR,netbanking,gaming,M564,0.36,U1221,710,2,3236,3430,mobile,0,90.246.210.12,0.23,Bangalore,12,4,1,8,2,22558,18203.63,0.193,0.193,0,0,0,0
5107.56,INR,netbanking,food,M218,0.03,U1093,946,1,2006,2095,tablet,0,1.138.149.116,0.2,Delhi,19,2,4,6,0,17629,12521.44,0.29,0.29,0,0,0,0
35934.98,INR,ATM,gaming,M304,0.65,U3609,839,2,3112,3164,tablet,1,30.56.161.187,0.75,Chennai,4,1,10,25,7,41981,6046.02,0.856,0.856,1,1,1,1
13936.9,INR,ATM,electronics,M502,0.84,U4382,747,2,2821,2700,desktop,1,252.69.119.81,0.91,Hyderabad,1,4,11,19,2,16597,2660.1,0.84,0.84,1,1,1,1
19075.64,INR,netbanking,retail,M332,0.96,U5415,148,3,1161,1216,desktop,1,229.115.249.111,0.95,Mumbai,0,5,8,11,5,21235,2159.36,0.898,0.898,1,1,1,1
1133.51,INR,card,luxury,M776,0.32,U2397,505,1,3044,3067,desktop,0,6.237.155.49,0.28,Mumbai,14,4,5,13,2,5768,4634.49,0.197,0.197,0,0,0,0
5417.07,INR,UPI,travel,M295,0.9,U5686,781,3,563,474,tablet,1,203.64.191.4,0.84,Chennai,4,5,10,16,6,6130,712.93,0.884,0.884,1,1,1,1
1645.78,INR,netbanking,travel,M122,0.3,U2292,595,2,4410,4382,desktop,0,205.187.92.169,0.1,Pune,12,4,1,16,2,19481,17835.22,0.084,0.084,0,0,0,0
3470.61,INR,ATM,gaming,M841,0.02,U3164,45,3,4287,4226,mobile,0,142.179.81.189,0.09,Delhi,10,3,4,18,0,38968,35497.39,0.089,0.089,0,0,0,0
31549.25,INR,netbanking,retail,M427,0.68,U3939,945,3,2564,2816,mobile,1,200.127.67.204,0.99,Hyderabad,3,0,10,15,7,36863,5313.75,0.856,0.856,1,1,1,1
35553.38,INR,ATM,crypto,M868,0.64,U4668,966,1,2225,2013,tablet,1,145.48.22.223,0.7,Hyderabad,0,0,10,26,2,42205,6651.62,0.842,0.842,1,1,1,1
3569.84,INR,ATM,food,M609,0.21,U1812,770,2,4336,4349,mobile,0,135.145.103.6,0.28,Kolkata,17,3,5,21,0,16977,13407.16,0.21,0.21,0,0,0,0
4881.92,INR,card,investment,M195,0.38,U2258,687,1,686,895,tablet,0,63.90.103.161,0.3,Pune,13,4,5,11,1,18188,13306.08,0.268,0.268,0,0,0,0
550.27,INR,ATM,retail,M712,0.09,U1889,41,2,2209,2411,mobile,0,100.118.135.26,0.33,Mumbai,11,0,3,18,0,36714,36163.73,0.015,0.015,0,0,0,0
10871.24,INR,ATM,crypto,M755,0.23,U2451,669,2,4659,4871,mobile,0,30.7.213.172,0.21,Delhi,14,0,5,13,2,46100,35228.76,0.236,0.236,0,0,0,0
20413.53,INR,UPI,investment,M136,0.67,U4316,64,2,3278,3343,mobile,1,107.185.35.84,0.93,Kolkata,0,0,8,22,7,23757,3343.47,0.859,0.859,1,1,1,1
33718.28,INR,netbanking,retail,M808,0.63,U3559,298,1,3104,3237,desktop,1,43.157.39.166,0.77,Chennai,3,4,10,17,3,37534,3815.72,0.898,0.898,1,1,1,1
27886.06,INR,card,travel,M259,0.85,U4574,359,2,2759,2735,desktop,1,252.148.149.182,0.73,Bangalore,3,2,12,18,7,33717,5830.94,0.827,0.827,1,1,1,1
36884.09,INR,card,electronics,M614,0.85,U3680,853,3,3848,4007,mobile,1,205.41.2.155,0.99,Delhi,3,1,10,29,6,38619,1734.91,0.955,0.955,1,1,1,1
21390.45,INR,card,investment,M387,0.92,U5651,281,2,3013,3051,desktop,1,251.48.116.212,0.71,Mumbai,4,0,10,12,3,22620,1229.55,0.946,0.946,1,1,1,1
24485.24,INR,netbanking,luxury,M465,0.77,U5811,528,1,4669,4626,desktop,1,182.114.227.57,0.85,Chennai,3,0,14,30,6,28191,3705.76,0.869,0.869,1,1,1,1
19017.37,INR,ATM,electronics,M195,0.79,U5679,865,2,708,651,tablet,1,83.77.204.241,0.76,Mumbai,4,0,9,28,6,20277,1259.63,0.938,0.938,1,1,1,1
34446.62,INR,card,retail,M244,0.74,U3964,545,2,1922,2176,desktop,1,176.187.237.252,0.99,Bangalore,4,1,14,21,4,40386,5939.38,0.853,0.853,1,1,1,1
19475.46,INR,card,electronics,M369,0.83,U3672,430,3,2931,2693,mobile,1,230.191.96.146,0.84,Chennai,3,0,12,31,2,21712,2236.54,0.897,0.897,1,1,1,1
5517.58,INR,UPI,travel,M991,0.19,U1561,192,3,3747,3899,tablet,0,89.76.20.4,0.24,Delhi,13,4,4,21,1,21868,16350.42,0.252,0.252,0,0,0,0
18976.27,INR,netbanking,crypto,M300,0.93,U3778,463,3,2470,2408,tablet,1,224.230.94.43,0.73,Kolkata,4,4,14,22,5,21274,2297.73,0.892,0.892,1,1,1,1
34666.21,INR,netbanking,luxury,M292,0.9,U3948,246,2,2334,2288,tablet,1,20.49.4.66,0.78,Mumbai,3,1,9,20,2,38515,3848.79,0.9,0.9,1,1,1,1
46371.39,INR,UPI,electronics,M226,0.68,U3817,765,2,1027,1056,tablet,1,2.125.65.144,0.87,Mumbai,3,5,10,14,7,49707,3335.61,0.933,0.933,1,1,1,1
38700.32,INR,ATM,travel,M770,0.76,U3758,310,1,4215,4155,mobile,1,89.50.11.9,0.84,Delhi,1,3,10,23,6,39708,1007.68,0.975,0.975,1,1,1,1
445.73,INR,ATM,gaming,M108,0.07,U2756,54,1,3072,2849,tablet,0,147.232.232.193,0.02,Kolkata,21,3,5,14,2,18156,17710.27,0.025,0.025,0,0,0,0
903.16,INR,netbanking,investment,M657,0.38,U1724,246,3,2882,2613,mobile,0,1.209.65.67,0.14,Hyderabad,10,3,1,2,2,20743,19839.84,0.044,0.044,0,0,0,0
4240.26,INR,ATM,retail,M673,0.02,U1219,828,2,1384,1415,mobile,0,178.243.63.229,0.32,Bangalore,14,0,5,16,0,19981,15740.74,0.212,0.212,0,0,0,0
19481.27,INR,netbanking,food,M491,0.74,U5139,251,2,1660,1609,desktop,1,136.242.251.28,0.9,Mumbai,4,5,13,14,7,20316,834.73,0.959,0.959,1,1,1,1
14827.04,INR,netbanking,gaming,M418,0.65,U4957,715,2,1649,1690,mobile,1,114.247.157.235,0.79,Pune,0,1,10,22,4,16405,1577.96,0.904,0.904,1,1,1,0
8471.59,INR,UPI,gaming,M489,0.24,U2588,641,3,683,894,mobile,0,202.64.16.94,0.24,Pune,19,4,5,18,1,45363,36891.41,0.187,0.187,0,0,0,0
33447.06,INR,ATM,travel,M853,0.83,U4347,820,2,754,657,mobile,1,119.14.246.220,0.85,Pune,0,3,12,16,3,41516,8068.94,0.806,0.806,1,1,1,1
37211.88,INR,netbanking,food,M318,0.63,U4970,708,1,1867,2111,mobile,1,190.154.113.163,0.78,Kolkata,2,1,13,31,4,38753,1541.12,0.96,0.96,1,1,1,1
11379.25,INR,UPI,crypto,M526,0.68,U5707,198,2,1248,1301,mobile,1,240.214.1.242,0.95,Chennai,0,5,11,29,4,12920,1540.75,0.881,0.881,1,1,1,1
3096.69,INR,UPI,investment,M669,0.37,U1043,47,2,947,997,tablet,0,75.229.250.111,0.18,Bangalore,15,1,1,3,2,13856,10759.31,0.223,0.223,0,0,0,0
42245.89,INR,UPI,retail,M252,0.73,U4001,190,2,941,1164,tablet,1,205.18.91.243,0.91,Chennai,3,4,14,19,6,46586,4340.11,0.907,0.907,1,1,1,1
2072.89,INR,card,investment,M614,0.17,U1210,755,2,1186,1311,desktop,0,125.119.161.0,0.17,Mumbai,21,5,3,12,1,8135,6062.11,0.255,0.255,0,0,0,0
8791.87,INR,ATM,investment,M602,0.38,U1677,272,3,1006,863,mobile,0,88.251.175.25,0.33,Pune,16,1,4,21,0,37796,29004.13,0.233,0.233,0,0,0,0
5509.42,INR,netbanking,investment,M969,0.29,U1354,34,1,1075,1223,desktop,0,105.186.54.44,0.25,Chennai,15,5,2,14,2,41851,36341.58,0.132,0.132,0,0,0,0
820.53,INR,UPI,retail,M331,0.35,U2433,402,1,2246,1952,desktop,0,34.196.103.191,0.13,Bangalore,15,4,2,18,1,19771,18950.47,0.042,0.042,0,0,0,0
3919.07,INR,ATM,retail,M542,0.02,U1949,76,2,4486,4578,tablet,0,132.118.171.138,0.19,Chennai,10,4,1,3,0,22681,18761.93,0.173,0.173,0,0,0,1
19648.81,INR,card,luxury,M629,0.98,U3843,847,2,3880,3600,desktop,1,147.227.220.184,0.86,Chennai,4,2,8,27,4,22427,2778.19,0.876,0.876,1,1,1,1
5815.21,INR,netbanking,food,M468,0.32,U1577,381,3,4608,4690,mobile,0,110.12.11.24,0.33,Mumbai,19,0,5,23,0,46763,40947.79,0.124,0.124,0,0,0,0
17081.86,INR,UPI,retail,M618,0.81,U4928,606,2,2898,3160,desktop,1,219.124.0.122,0.79,Pune,1,2,12,22,3,18943,1861.14,0.902,0.902,1,1,1,1
935.67,INR,UPI,crypto,M518,0.15,U1544,639,1,4725,4535,tablet,0,208.48.26.198,0.02,Pune,15,1,1,14,2,27844,26908.33,0.034,0.034,0,0,0,1
6704.06,INR,ATM,electronics,M302,0.36,U1367,330,3,3404,3419,desktop,0,244.169.68.16,0.1,Bangalore,8,2,4,9,1,27702,20997.94,0.242,0.242,0,0,0,0
804.34,INR,netbanking,travel,M109,0.11,U2612,378,3,898,658,tablet,0,122.194.16.13,0.38,Bangalore,14,5,1,11,0,8180,7375.66,0.098,0.098,0,0,0,0
28360.37,INR,UPI,investment,M715,0.72,U4550,621,2,2430,2705,tablet,1,37.106.153.56,0.78,Chennai,1,2,13,29,3,33073,4712.63,0.858,0.858,1,1,1,1
6448.97,INR,UPI,retail,M820,0.97,U4716,131,3,2726,2935,desktop,1,240.6.222.193,0.82,Kolkata,1,4,12,13,6,7114,665.03,0.907,0.907,1,1,1,1
14542.24,INR,card,crypto,M246,0.75,U4779,570,3,2943,2893,mobile,1,29.42.146.138,0.72,Kolkata,0,4,13,15,7,15304,761.76,0.95,0.95,1,1,1,1
1718.78,INR,UPI,food,M379,0.2,U1135,195,1,4950,4922,tablet,0,255.17.130.148,0.18,Hyderabad,12,2,1,8,1,6512,4793.22,0.264,0.264,0,0,0,0
34955.43,INR,UPI,electronics,M627,0.94,U5480,658,1,3645,3564,desktop,1,208.236.159.115,0.8,Bangalore,4,5,11,20,2,36202,1246.57,0.966,0.966,1,1,1,1
5073.13,INR,card,crypto,M430,0.0,U2437,332,1,2732,3019,desktop,0,148.161.93.7,0.24,Mumbai,11,5,4,9,2,49424,44350.87,0.103,0.103,0,0,0,0
275.64,INR,ATM,investment,M470,0.06,U1047,288,1,1385,1175,tablet,0,212.77.53.249,0.39,Delhi,15,3,1,3,2,30668,30392.36,0.009,0.009,0,0,0,0
6564.99,INR,netbanking,crypto,M482,0.29,U2360,888,1,3182,2925,desktop,0,53.21.10.107,0.03,Pune,14,4,3,14,2,42401,35836.01,0.155,0.155,0,0,0,0
3995.34,INR,ATM,food,M925,0.36,U1734,282,1,3542,3634,mobile,0,69.109.153.77,0.02,Chennai,20,1,2,18,2,16357,12361.66,0.244,0.244,0,0,0,0
1553.13,INR,UPI,retail,M656,0.24,U2534,289,2,4366,4562,tablet,0,62.83.168.189,0.11,Chennai,8,1,1,18,0,28178,26624.87,0.055,0.055,0,0,0,0
192.14,INR,UPI,luxury,M555,0.14,U3004,639,3,3597,3396,mobile,0,102.197.98.238,0.14,Pune,13,0,5,16,2,13742,13549.86,0.014,0.014,0,0,0,0
11058.19,INR,UPI,gaming,M632,0.64,U4795,778,2,1649,1750,desktop,1,227.193.171.141,0.84,Mumbai,2,2,8,15,4,12268,1209.81,0.901,0.901,1,1,1,1
45770.56,INR,ATM,travel,M116,0.8,U3519,811,1,2378,2258,tablet,1,193.214.217.244,0.86,Delhi,0,4,13,29,4,47978,2207.44,0.954,0.954,1,1,1,0
1052.16,INR,netbanking,electronics,M387,0.15,U2972,490,1,2175,2308,desktop,0,202.116.168.158,0.16,Chennai,12,2,3,17,0,36125,35072.84,0.029,0.029,0,0,0,0
14316.46,INR,UPI,electronics,M882,0.09,U1996,119,3,4491,4335,tablet,0,136.214.9.162,0.39,Delhi,20,2,2,4,2,48680,34363.54,0.294,0.294,0,0,0,0
2303.8,INR,ATM,retail,M161,0.21,U1061,759,2,2027,2190,tablet,0,180.239.172.63,0.17,Hyderabad,13,5,4,20,2,30701,28397.2,0.075,0.075,0,0,0,0
5067.74,INR,UPI,travel,M701,0.04,U2108,153,3,4051,4108,mobile,0,213.202.149.191,0.2,Bangalore,19,0,3,5,1,35002,29934.26,0.145,0.145,0,0,0,0
3241.71,INR,ATM,travel,M116,0.25,U3405,187,1,547,262,mobile,0,255.216.51.0,0.26,Pune,16,3,5,15,0,11182,7940.29,0.29,0.29,0,0,0,0
941.64,INR,ATM,investment,M251,0.02,U1095,349,1,1966,1916,desktop,0,239.75.161.66,0.01,Delhi,13,3,5,16,0,7093,6151.36,0.133,0.133,0,0,0,0
7883.88,INR,ATM,gaming,M519,0.15,U1478,635,2,694,493,desktop,0,33.226.185.23,0.21,Hyderabad,10,3,3,22,2,27291,19407.12,0.289,0.289,0,0,0,0
27877.18,INR,netbanking,electronics,M256,0.8,U5359,836,2,3485,3489,tablet,1,30.133.16.67,0.77,Hyderabad,4,1,14,15,5,33020,5142.82,0.844,0.844,1,1,1,1
40932.26,INR,netbanking,food,M238,0.81,U5112,713,2,721,644,desktop,1,230.12.248.76,0.85,Pune,3,4,8,25,6,42958,2025.74,0.953,0.953,1,1,1,1
19031.73,INR,card,luxury,M751,0.74,U4707,933,3,1764,2013,desktop,1,92.52.90.99,0.83,Mumbai,0,5,12,28,3,23154,4122.27,0.822,0.822,1,1,1,1
7394.24,INR,netbanking,investment,M125,0.13,U2101,770,2,4280,4492,desktop,0,180.32.179.175,0.21,Delhi,12,4,3,16,2,49566,42171.76,0.149,0.149,0,0,0,0
42350.41,INR,ATM,food,M433,0.71,U3746,221,3,4289,4412,tablet,1,17.173.101.29,0.78,Chennai,2,0,12,22,6,46199,3848.59,0.917,0.917,1,1,1,1
5673.36,INR,netbanking,luxury,M147,0.0,U3170,140,2,4110,3888,tablet,0,226.196.116.141,0.19,Bangalore,12,2,4,11,0,47364,41690.64,0.12,0.12,0,0,0,0
5004.32,INR,netbanking,investment,M624,0.03,U1322,745,2,4950,4923,mobile,0,89.199.196.64,0.11,Kolkata,16,3,2,10,1,32334,27329.68,0.155,0.155,0,0,0,0
10482.51,INR,card,food,M231,0.75,U5254,540,3,2528,2721,desktop,1,60.77.172.52,0.79,Pune,4,3,13,25,6,11536,1053.49,0.909,0.909,1,1,1,1
15137.86,INR,UPI,food,M484,0.78,U4142,967,3,3715,3452,tablet,1,105.5.103.152,0.88,Chennai,1,4,11,13,6,17540,2402.14,0.863,0.863,1,1,1,1
26732.34,INR,card,food,M114,0.91,U4537,157,2,4709,4805,desktop,1,92.34.12.235,0.73,Bangalore,2,5,11,22,6,32881,6148.66,0.813,0.813,1,1,1,1
13912.23,INR,ATM,travel,M182,0.74,U5925,209,2,1155,1353,mobile,1,255.169.20.31,0.98,Pune,1,4,14,22,5,14203,290.77,0.98,0.98,1,1,1,1
12705.16,INR,card,food,M248,0.91,U3924,899,3,857,920,desktop,1,48.240.154.6,0.98,Chennai,3,5,11,16,5,14267,1561.84,0.891,0.891,1,1,1,1
8505.13,INR,ATM,travel,M360,0.29,U2149,780,1,788,563,desktop,0,198.45.106.180,0.18,Hyderabad,19,1,3,14,2,45262,36756.87,0.188,0.188,0,0,0,0
28424.34,INR,ATM,investment,M800,0.91,U4617,340,2,1708,1975,desktop,1,170.83.61.115,0.73,Hyderabad,4,2,9,15,3,30950,2525.66,0.918,0.918,1,1,1,1
7176.0,INR,UPI,retail,M423,0.22,U1291,227,2,3124,2985,desktop,0,99.206.245.218,0.16,Chennai,18,1,3,14,0,24539,17363.0,0.292,0.292,0,0,0,0
31796.94,INR,netbanking,crypto,M590,0.81,U4749,224,1,2098,1847,tablet,1,142.109.155.107,0.84,Pune,2,2,13,31,7,35996,4199.06,0.883,0.883,1,1,1,1
28886.89,INR,netbanking,travel,M685,0.75,U4586,298,1,1774,1527,tablet,1,118.196.196.51,0.81,Bangalore,0,0,10,27,2,35528,6641.11,0.813,0.813,1,1,1,1
838.61,INR,netbanking,luxury,M741,0.07,U1533,191,1,4827,4675,desktop,0,59.200.2.30,0.26,Kolkata,17,0,5,16,1,35593,34754.39,0.024,0.024,0,0,0,0
18433.8,INR,ATM,electronics,M457,0.93,U4607,238,2,3566,3761,mobile,1,61.155.124.169,0.93,Mumbai,1,1,8,20,5,21427,2993.2,0.86,0.86,1,1,1,1
12567.32,INR,UPI,investment,M327,0.72,U3648,502,2,4777,4872,tablet,1,121.198.83.252,0.85,Pune,2,2,12,13,6,13953,1385.68,0.901,0.901,1,1,1,1
39752.64,INR,card,electronics,M547,0.79,U5810,872,2,1555,1725,desktop,1,87.181.58.23,0.97,Chennai,2,2,12,22,7,49534,9781.36,0.803,0.803,1,1,1,1
567.7,INR,card,crypto,M895,0.18,U2983,915,2,3011,3114,desktop,0,191.232.97.104,0.26,Pune,12,0,3,22,1,15212,14644.3,0.037,0.037,0,0,0,0
21569.54,INR,UPI,investment,M981,0.67,U3932,495,2,2504,2651,tablet,1,101.86.56.46,0.85,Mumbai,0,4,12,15,4,23033,1463.46,0.936,0.936,1,1,1,1
1311.2,INR,card,gaming,M618,0.03,U2536,198,1,1446,1201,mobile,0,187.249.189.41,0.34,Hyderabad,13,3,2,21,2,11210,9898.8,0.117,0.117,0,0,0,0
44323.81,INR,ATM,retail,M988,0.86,U5534,738,1,1309,1375,desktop,1,212.43.127.178,0.83,Mumbai,2,1,8,19,3,47629,3305.19,0.931,0.931,1,1,1,1
6538.2,INR,netbanking,crypto,M280,0.95,U5172,142,3,3386,3559,tablet,1,246.61.2.181,0.78,Kolkata,4,0,10,27,7,7299,760.8,0.896,0.896,1,1,1,1
15168.24,INR,ATM,investment,M335,0.72,U4360,396,1,850,1146,mobile,1,185.138.237.46,0.86,Mumbai,2,1,14,18,5,17727,2558.76,0.856,0.856,1,1,1,1
6474.83,INR,card,investment,M208,0.71,U4665,730,1,3654,3542,tablet,1,86.249.248.252,0.9,Mumbai,0,2,11,13,2,7419,944.17,0.873,0.873,1,1,1,1
9441.85,INR,netbanking,luxury,M158,0.74,U5005,940,2,3171,3258,desktop,1,209.252.240.248,0.72,Hyderabad,2,2,12,21,7,10285,843.15,0.918,0.918,1,1,1,1
23537.69,INR,netbanking,gaming,M843,0.84,U4626,743,2,1554,1845,desktop,1,197.193.154.66,0.8,Delhi,1,0,10,19,2,24992,1454.31,0.942,0.942,1,1,1,1
3213.92,INR,card,retail,M406,0.11,U1586,548,1,3065,2933,tablet,0,129.121.174.155,0.4,Delhi,20,3,4,23,2,20642,17428.08,0.156,0.156,0,0,0,0
7139.94,INR,netbanking,crypto,M578,0.96,U4256,960,2,980,1206,tablet,1,58.5.12.244,0.75,Bangalore,1,3,10,15,6,8042,902.06,0.888,0.888,1,1,1,1
2092.19,INR,netbanking,investment,M531,0.08,U3298,563,3,1564,1841,mobile,0,30.195.208.183,0.35,Pune,14,5,4,6,0,12114,10021.81,0.173,0.173,0,0,0,0
35535.53,INR,ATM,electronics,M657,0.69,U4988,551,2,751,677,mobile,1,136.99.110.24,0.71,Delhi,0,0,10,15,5,42484,6948.47,0.836,0.836,1,1,1,1
12282.29,INR,ATM,investment,M362,0.22,U1584,887,2,935,863,tablet,0,208.98.18.199,0.32,Delhi,17,2,4,17,0,47005,34722.71,0.261,0.261,0,0,0,0
670.48,INR,UPI,electronics,M866,0.14,U3423,637,1,4383,4563,mobile,0,224.59.40.6,0.06,Delhi,8,0,2,8,0,24036,23365.52,0.028,0.028,0,0,0,0
2602.14,INR,ATM,gaming,M917,0.38,U2391,445,3,3414,3488,tablet,0,183.65.158.208,0.03,Mumbai,13,0,5,21,2,44765,42162.86,0.058,0.058,0,0,0,0
31747.8,INR,netbanking,luxury,M411,0.9,U5525,453,2,3563,3836,tablet,1,245.131.94.53,0.72,Pune,1,0,14,31,5,36766,5018.2,0.864,0.864,1,1,1,0
16109.54,INR,UPI,food,M697,0.8,U5920,973,2,2525,2433,tablet,1,193.12.196.96,0.96,Kolkata,0,0,13,22,6,18094,1984.46,0.89,0.89,1,1,1,1
14716.37,INR,netbanking,luxury,M155,0.82,U5800,771,3,1934,2086,mobile,1,211.4.65.180,0.85,Bangalore,2,2,9,15,6,17629,2912.63,0.835,0.835,1,1,1,0
33086.09,INR,ATM,travel,M219,0.74,U4240,340,3,1617,1368,mobile,1,222.105.196.222,0.96,Bangalore,0,3,8,18,6,40478,7391.91,0.817,0.817,1,1,1,1
11659.97,INR,card,gaming,M890,0.91,U5281,95,2,4414,4474,mobile,1,100.249.221.234,0.96,Mumbai,1,5,12,19,6,13322,1662.03,0.875,0.875,1,1,1,1
33029.63,INR,card,crypto,M956,0.87,U4338,749,2,1290,1237,mobile,1,138.117.64.32,0.85,Pune,0,5,13,19,4,35543,2513.37,0.929,0.929,1,1,1,1
34546.16,INR,netbanking,investment,M855,0.95,U4220,745,1,691,669,desktop,1,83.129.167.135,0.77,Chennai,0,5,9,12,3,39042,4495.84,0.885,0.885,1,1,1,1
7716.82,INR,UPI,travel,M688,0.09,U3111,831,2,2750,2794,tablet,0,21.139.14.245,0.35,Bangalore,20,3,3,13,0,25957,18240.18,0.297,0.297,0,0,0,0
2618.57,INR,ATM,investment,M501,0.05,U2174,808,2,1964,1706,mobile,0,118.153.194.55,0.24,Delhi,12,0,3,12,2,16133,13514.43,0.162,0.162,0,0,0,0
9344.21,INR,UPI,travel,M173,0.93,U5862,64,1,4629,4395,mobile,1,180.144.189.49,0.92,Delhi,1,2,8,27,3,10705,1360.79,0.873,0.873,1,1,1,1
35087.56,INR,ATM,travel,M859,0.82,U4811,199,2,4567,4805,mobile,1,181.69.125.172,0.72,Mumbai,0,2,8,14,2,41726,6638.44,0.841,0.841,1,1,1,1
2111.22,INR,UPI,travel,M110,0.04,U2867,209,2,4630,4777,desktop,0,23.216.8.208,0.05,Kolkata,13,4,5,23,2,14850,12738.78,0.142,0.142,0,0,0,0
7244.25,INR,ATM,electronics,M332,0.78,U3614,691,1,2119,2359,tablet,1,8.206.50.226,0.7,Delhi,2,4,11,26,6,7776,531.75,0.932,0.932,1,1,1,1
8532.09,INR,ATM,gaming,M978,0.9,U4866,861,1,4899,4953,mobile,1,13.197.114.9,0.96,Pune,0,5,12,21,7,9671,1138.91,0.882,0.882,1,1,1,1
12123.82,INR,UPI,crypto,M815,0.91,U5885,683,1,4941,4737,desktop,1,23.48.114.33,0.7,Mumbai,2,5,14,32,7,13776,1652.18,0.88,0.88,1,1,1,1
